sleeping.category,p20,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,2012,BFA,423646.712129163,5542804.86346012,0.0764318287518965,Not P20
5 people per room or more,P20,2012,BFA,1183379.80699166,11028441.1365399,0.107302545513059,P20
5 people per room or more,Not P20,2013,BFA,420930.907382195,5363229.36629217,0.0784845992281703,Not P20
5 people per room or more,P20,2013,BFA,1234732.29259583,11709545.6337078,0.105446644235405,P20
5 people per room or more,Not P20,2014,BFA,418628.487251061,5318075.0775863,0.0787180476288166,Not P20
5 people per room or more,P20,2014,BFA,1286807.28292034,12267941.9224137,0.104891862959452,P20
5 people per room or more,Not P20,2015,BFA,427334.206651607,5288305.58855028,0.0808073965273165,Not P20
5 people per room or more,P20,2015,BFA,1328976.27512062,12822318.4114497,0.10364555242474,P20
5 people per room or more,Not P20,2016,BFA,439975.737421084,5522814.15718305,0.0796651353637972,Not P20
5 people per room or more,P20,2016,BFA,1368290.45641559,13123563.842817,0.104262109957617,P20
5 people per room or more,Not P20,2017,BFA,455383.096474547,5769329.1207715,0.0789317244590913,Not P20
5 people per room or more,P20,2017,BFA,1405920.29477421,13423954.8792285,0.104732197584309,P20
5 people per room or more,Not P20,2018,BFA,470177.824685168,6011154.46742623,0.0782175582465911,Not P20
5 people per room or more,P20,2018,BFA,1445262.96584701,13740380.5325738,0.105183620091218,P20
5 people per room or more,Not P20,2000,BGD,31332523.3901789,203937758.976278,0.153637676257016,Not P20
5 people per room or more,P20,2000,BGD,15752804.5201399,51124716.4521686,0.308125024710464,P20
5 people per room or more,Not P20,2001,BGD,28556148.9801371,206949255.135014,0.13798623706815,Not P20
5 people per room or more,P20,2001,BGD,15624525.1388207,52970094.2643077,0.294968799958297,P20
5 people per room or more,Not P20,2002,BGD,28238875.524409,209744440.55068,0.13463467947121,Not P20
5 people per room or more,P20,2002,BGD,16100768.4106915,54948937.0709008,0.293013282311841,P20
5 people per room or more,Not P20,2003,BGD,27387155.7195976,212245401.616069,0.129035331324343,Not P20
5 people per room or more,P20,2003,BGD,16543241.5884559,57070420.7237653,0.289874183134714,P20
